loan_id,book_id,user_id,library_id,loan_date,due_date,return_date
1,81,124,2,2021-09-18,2020-01-24,
2,82,287,2,2020-10-13,2022-05-30,
3,30,712,9,2023-05-08,2021-12-27,2020-05-31
4,97,90,5,2021-07-17,2021-12-16,
5,73,568,2,2023-11-01,2020-04-26,2022-06-19
6,11,850,9,2023-04-25,2021-10-02,
7,67,95,4,2022-02-03,2021-04-15,
8,34,320,3,2022-01-16,2021-10-30,
9,74,890,9,2024-05-07,2021-06-13,2021-09-20
10,51,216,4,2024-04-29,2020-06-14,2024-01-17
11,89,572,3,2020-10-30,2023-03-22,
12,34,908,10,2024-05-20,2023-11-13,2020-01-08
13,12,774,9,2022-01-06,2021-05-14,2020-04-02
14,5,684,8,2020-02-23,2022-03-01,2020-02-24
15,13,540,6,2023-12-16,2022-10-31,
16,63,777,2,2022-04-21,2022-02-19,2023-01-30
17,28,863,1,2022-04-30,2020-05-14,2022-08-23
18,12,427,1,2021-04-13,2023-04-25,2021-01-19
19,52,530,6,2023-05-17,2022-09-17,2022-10-22
20,35,355,1,2020-03-29,2023-11-05,2023-05-23
21,46,344,3,2023-10-01,2020-09-22,
22,92,759,3,2020-08-09,2021-06-30,
23,97,422,10,2023-01-12,2021-10-27,2023-01-29
24,13,918,9,2021-05-03,2020-09-27,
25,36,648,2,2022-09-06,2022-03-24,
26,87,150,8,2022-06-17,2021-08-07,
27,8,323,7,2022-03-02,2022-02-11,
28,15,308,2,2023-08-10,2022-11-14,2022-05-05
29,61,910,2,2020-10-21,2024-05-12,
30,11,437,9,2020-10-23,2020-12-04,
31,43,31,1,2021-03-04,2023-03-30,
32,82,138,6,2020-03-07,2020-08-26,
33,11,104,5,2023-10-08,2020-06-09,
34,32,670,4,2020-11-18,2022-01-12,2024-05-27
35,77,303,3,2021-10-05,2023-12-13,
36,5,385,4,2023-04-01,2021-02-25,
37,35,666,2,2020-02-24,2022-10-01,2022-01-19
38,75,136,2,2022-05-15,2021-08-01,
39,1,426,5,2023-06-23,2023-04-04,2022-03-02
40,54,490,1,2022-02-19,2021-03-17,2020-02-22
41,12,98,3,2023-04-23,2022-11-16,2020-02-22
42,31,250,4,2020-07-29,2020-05-20,2020-11-07
43,34,393,1,2020-11-04,2022-02-24,
44,93,745,6,2021-04-10,2020-03-06,
45,77,914,5,2021-08-03,2021-04-08,2022-02-28
46,11,952,7,2021-02-27,2021-08-05,2024-01-19
47,46,376,4,2021-01-05,2022-12-18,
48,63,686,9,2021-03-21,2020-03-27,
49,26,175,2,2021-04-20,2023-05-06,
50,1,805,3,2021-10-28,2020-10-12,
51,2,655,5,2020-11-22,2020-03-20,
52,86,374,9,2023-04-20,2024-06-14,2022-05-07
53,66,754,9,2020-06-05,2022-11-05,2022-06-27
54,62,339,8,2023-06-26,2020-12-04,
55,67,500,9,2022-12-26,2021-04-11,
56,85,497,10,2024-05-08,2023-05-15,2022-11-01
57,1,563,7,2022-03-08,2023-12-17,2022-09-15
58,44,275,4,2021-08-17,2021-12-02,2024-01-27
59,53,84,2,2023-09-11,2024-01-06,2022-06-12
60,48,689,1,2020-09-17,2020-04-29,2024-06-11
61,67,523,8,2024-02-28,2021-05-25,2021-12-27
62,12,681,5,2020-10-05,2022-07-02,
63,93,922,10,2021-12-04,2023-03-09,2020-11-28
64,76,778,6,2020-06-19,2023-07-21,
65,36,448,2,2020-12-31,2021-11-17,2022-11-22
66,97,412,2,2021-10-01,2024-05-13,2024-02-08
67,21,567,3,2021-05-26,2023-11-19,
68,17,676,4,2021-11-30,2020-05-18,2022-12-17
69,94,82,5,2021-07-09,2021-10-29,
70,68,222,2,2023-11-05,2023-12-23,
71,46,584,9,2023-11-09,2023-12-17,
72,9,61,4,2021-04-13,2024-02-28,2021-02-17
73,77,714,9,2022-10-23,2022-09-15,
74,44,940,4,2024-02-15,2023-01-24,
75,75,582,3,2020-06-30,2023-03-18,2023-01-07
76,72,494,4,2022-11-19,2022-08-03,2022-01-21
77,77,344,4,2022-09-28,2023-04-27,2024-01-12
78,13,546,4,2023-06-21,2022-12-24,
79,74,679,7,2024-03-18,2021-09-10,
80,27,722,10,2022-05-26,2023-04-27,2024-05-30
81,36,368,2,2023-12-08,2023-07-26,
82,45,939,3,2022-10-02,2024-05-21,2021-09-15
83,69,698,1,2021-04-14,2020-06-01,2020-12-16
84,37,633,4,2022-02-22,2023-08-01,2024-05-11
85,64,830,3,2020-10-10,2022-09-17,2021-01-02
86,100,340,3,2023-04-01,2022-08-22,2021-05-16
87,40,831,8,2022-07-02,2024-05-10,2020-06-13
88,18,969,7,2023-04-08,2023-11-18,2023-04-08
89,70,827,4,2021-08-30,2021-12-02,
90,68,948,6,2022-12-03,2023-02-23,2024-04-19
91,39,177,2,2023-09-25,2023-08-11,
92,30,602,10,2020-11-24,2020-01-15,
93,66,530,10,2022-11-27,2023-02-11,
94,31,467,8,2020-06-28,2020-07-20,2021-04-08
95,60,118,4,2024-01-31,2023-04-21,
96,30,863,6,2022-06-04,2023-10-17,
97,48,625,6,2023-04-25,2024-02-18,2023-12-13
98,68,642,8,2022-06-16,2023-01-22,
99,43,479,1,2024-01-15,2024-07-09,
100,94,153,4,2022-01-19,2021-12-20,
101,69,44,4,2021-01-02,2024-03-05,
102,58,279,9,2020-02-05,2022-10-09,
103,49,298,7,2020-08-16,2021-08-07,2023-11-08
104,17,212,7,2021-07-17,2024-02-07,2021-01-15
105,71,304,6,2020-07-14,2023-09-03,
106,52,685,2,2020-12-18,2024-06-19,
107,57,894,4,2020-10-01,2020-05-31,2024-05-07
108,70,392,5,2020-01-02,2020-04-22,2020-05-23
109,40,782,5,2020-03-23,2021-04-15,
110,92,247,6,2024-04-19,2023-07-07,
111,78,171,3,2023-11-20,2023-11-07,2022-12-26
112,49,654,5,2022-09-15,2021-11-20,2024-02-09
113,9,182,1,2022-11-13,2021-11-06,
114,27,291,6,2020-04-08,2020-11-30,2021-12-16
115,49,284,9,2023-10-18,2022-07-21,
116,43,335,9,2023-09-03,2020-05-23,
117,21,781,1,2022-10-27,2020-12-26,
118,21,766,2,2022-01-07,2021-11-05,2022-07-25
119,31,252,2,2021-07-11,2020-08-16,
120,75,995,3,2023-01-12,2022-05-05,2023-10-22
121,16,826,8,2024-03-16,2021-11-05,
122,100,355,5,2021-09-02,2024-02-18,2023-09-03
123,54,223,1,2023-09-20,2021-10-03,2021-08-18
124,1,768,8,2021-07-20,2020-12-18,2020-07-09
125,66,889,10,2023-09-16,2021-03-14,
126,89,593,3,2020-12-18,2020-02-15,2024-04-21
127,41,564,4,2023-08-16,2020-02-05,2023-12-27
128,59,122,9,2022-12-05,2023-03-28,
129,13,783,9,2023-10-06,2021-01-27,2023-09-05
130,7,45,10,2024-03-30,2024-03-08,2022-03-02
131,66,438,8,2023-10-24,2023-03-11,2020-10-10
132,5,320,8,2024-01-25,2024-01-22,
133,62,826,8,2023-04-05,2022-01-27,
134,39,523,2,2022-12-01,2021-05-26,
135,68,809,10,2020-12-22,2021-05-08,2023-09-21
136,52,844,5,2023-04-01,2024-05-02,
137,49,391,2,2023-08-20,2023-02-03,
138,75,534,8,2022-02-02,2023-10-01,2022-07-29
139,67,851,1,2020-03-13,2024-07-17,2021-11-06
140,83,638,9,2023-04-03,2022-11-04,
141,28,807,7,2020-01-10,2022-01-23,2023-05-06
142,10,936,8,2021-05-25,2021-12-23,
143,96,85,7,2022-05-25,2022-04-05,
144,92,213,2,2024-04-07,2024-02-29,2021-06-18
145,96,500,8,2022-03-18,2023-04-21,2023-08-06
146,26,976,1,2020-10-28,2024-03-05,
147,43,646,1,2024-01-17,2021-01-21,
148,1,858,1,2023-02-02,2022-04-14,2023-01-22
149,30,57,1,2024-05-26,2021-09-23,2024-07-01
150,63,15,10,2021-09-20,2023-07-09,2024-01-08
151,63,271,9,2021-05-02,2020-10-21,2021-10-31
152,18,553,3,2023-04-25,2021-09-01,
153,46,50,5,2022-02-23,2021-06-05,2021-06-19
154,64,887,9,2020-10-24,2023-06-18,2021-02-12
155,78,300,6,2022-03-11,2024-06-14,
156,25,874,6,2020-09-01,2020-09-17,
157,42,369,1,2021-12-18,2023-08-27,
158,90,692,6,2022-12-31,2020-08-21,2020-08-09
159,55,75,5,2023-05-25,2020-03-12,
160,77,673,3,2020-04-06,2024-05-08,2023-08-10
161,94,839,2,2024-05-04,2021-05-04,
162,94,540,8,2024-04-13,2023-11-20,
163,76,417,5,2021-09-21,2022-09-09,2024-05-17
164,37,886,7,2023-05-17,2024-05-10,2021-04-20
165,27,835,7,2022-06-20,2021-02-19,2021-12-17
166,16,16,3,2021-01-28,2020-02-04,
167,61,886,3,2024-06-03,2024-06-01,2022-08-22
168,67,910,10,2024-04-27,2021-04-22,2024-03-03
169,42,881,9,2022-06-09,2022-12-21,2022-01-15
170,14,867,5,2020-11-14,2023-05-05,2024-04-15
171,62,838,7,2020-11-25,2022-07-01,2021-12-23
172,1,23,6,2020-09-19,2023-01-26,2023-01-16
173,63,472,9,2020-08-28,2024-01-09,2023-04-14
174,39,957,6,2020-11-14,2023-10-29,2024-06-20
175,9,221,4,2023-04-01,2023-02-08,2022-11-12
176,33,360,5,2021-12-21,2021-11-19,2021-12-22
177,3,261,6,2024-01-31,2024-04-06,
178,1,722,10,2021-12-20,2020-07-31,2021-08-25
179,85,807,1,2020-04-23,2021-02-10,2020-11-28
180,38,532,3,2022-02-21,2020-11-25,
181,35,103,2,2022-01-30,2022-04-03,
182,44,532,2,2021-09-23,2021-12-25,
183,90,700,4,2020-03-13,2021-05-11,2024-01-08
184,59,142,5,2021-05-23,2021-08-18,
185,43,169,9,2023-02-23,2022-10-11,2021-12-18
186,83,550,4,2020-03-06,2023-10-22,2023-06-15
187,21,495,3,2024-03-20,2023-12-30,2020-07-02
188,31,228,9,2022-01-28,2023-08-28,2020-01-27
189,90,994,3,2024-06-09,2023-03-17,
190,87,978,4,2024-06-14,2022-09-23,2021-07-03
191,57,780,7,2020-03-08,2024-07-10,2021-12-20
192,54,318,7,2022-01-09,2022-06-20,2020-06-20
193,16,957,8,2022-12-29,2023-08-28,
194,67,450,3,2021-01-31,2021-10-28,2023-04-23
195,52,928,1,2023-09-18,2020-05-12,2020-01-06
196,18,520,3,2023-07-13,2021-12-25,
197,63,788,2,2022-07-27,2020-02-26,2024-04-03
198,83,99,7,2022-12-13,2022-08-24,
199,70,119,1,2020-03-20,2020-06-09,2023-04-09
200,14,436,3,2021-07-29,2023-05-28,
